<name>,<x/lat>,<y/long>,<adj1>,<wt1>,<adj2>,<wt2>,<adj3>,<wt3>,<adj4>,<wt4>,<adj5>,<wt5>
C4C,40.0044984164056,-105.264910115663,Hallett,30,Fiske_Planetarium,240,,,,,,
UMC,40.0069082741916,-105.271172765933,Environmental_Design,160,Econ,480,,,,,,
Engineering_Center,40.0069586381619,-105.262413406411,Engineering_Quad,160,Math,150,,,,,,
Duane_Physics,40.0080988107708,-105.267274954290,Folsom_Field,50,Engineering_Quad,280,Baker,230,,,,
Math,40.0078946824088,-105.264099119903,Engineering_Center,150,Engineering_Quad,110,,,,,,
Fleming,40.0019149946464,-105.262652064082,Wolf_Law,50,Kitt_Central,70,,,,,,
Wolf_Law,40.0015027210938,-105.262696286827,Fleming,50,,,,,,,,
Environmental_Design,40.0070581661890,-105.269194544499,Farrand_Field,150,UMC,160,,,,,,
Econ,40.0080038178243,-105.274454229156,UMC,480,Old_Main,350,Hale_Science,300,,,,
Hale_Science,40.0093474617792,-105.274761683126,Sewall,400,Econ,300,,,,,,
Leeds_Business,40.0057423134729,-105.262926289217,Hallett,250,Engineering_Center,,,,,,,
Fiske_Planetarium,40.0037635458546,-105.263078821754,C4C,240,Kitt_Central,30,,,,,,
Rec_Center,40.0103630773567,-105.269083565933,Folsom_Field,175,Old_Main,350,Sewall,80,,,,
Farrand_Field,40.0061777678848,-105.267161506411,Farrand,70,Baker,130,Environmental_Design,150,,,,
Kitt_Field,40.0030674922878,-105.259267852440,Arnett,170,,,,,,,,
Old_Main,40.0092272970693,-105.273334173542,Econ,350,Rec_Center,350,Sewall,220,,,,
Folsom_Field,40.0096445493190,-105.266479206411,Duane_Physics,50,Rec_Center,175,,,,,,
Hallett,40.0052117150059,-105.264571064082,Farrand,170,Leeds_Business,250,C4C,30,Engineering_Quad,200,,
Engineering_Quad,40.0068083876009,-105.264962055543,Hallett,200,Farrand,140,Duane_Physics,280,Engineering_Center,160,Math,110
Kitt_Central,40.0029016592738,-105.263159885134,Andrews,50,Fiske_Planetarium,30,Fleming,70,,,,
Farrand,40.0061298318929,-105.267556301538,Farrand_Field,70,Engineering_Quad,140,Hallett,170,,,,
Arnett,40.0035471729518,-105.261085202377,Andrews,91,Kitt_Field,170,,,,,,
Baker,40.0069711663565,-105.267759073542,Farrand_Field,130,Duane_Physics,230,,,,,,
Andrews,40.0031972920221,-105.261806523604,Kitt_Central,50,Arnett,91,,,,,,
Sewall,40.0105004860595,-105.271161486179,Hale_Science,400,Old_Main,220,Rec_Center,80,,,,